,Unnamed: 0,univNameCn,univTags,univCategory,province,score,ranking,lng,lat,tlng,tlat
211,211,重庆师范大学,,师范,重庆,160.6,212,106.299454,29.613656,106.29563436481196,29.61631635956134
212,212,江西农业大学,,农业,江西,160.5,213,115.83852,28.757181,115.83355434767651,28.76041911558037
213,213,兰州交通大学,,理工,甘肃,160.5,213,103.745276,36.0997,103.74276393585167,36.09991555565972
214,214,西藏大学,一流学科 211,综合,西藏,159.7,215,91.14678,29.645518,91.1452586440087,29.648261098419844
215,215,沈阳工业大学,,理工,辽宁,159.6,216,123.251658,41.737484,123.24585610055131,41.735229688513044
216,216,华东交通大学,,理工,江西,159.4,217,115.867828,28.745691,115.86293297833289,28.748986940985098
217,217,沈阳航空航天大学,,理工,辽宁,159.2,218,123.407899,41.926975,123.4017331081912,41.92453177948921
218,218,西安邮电大学,,理工,陕西,158.9,219,108.948713,34.213552,108.94405535941587,34.21515289946075
219,219,东华理工大学,,理工,江西,158.7,220,116.354691,28.001877,116.34969498298614,28.00503399408845
220,220,东北电力大学,,理工,吉林,158.6,221,126.504189,43.823273,126.49830689904998,43.82087345741281
221,221,上海电力大学,,理工,上海,157.9,222,121.546776,31.27518,121.54248386430115,31.277296021017136
222,222,鲁东大学,,综合,山东,157.3,223,121.359238,37.523045,121.35402179662407,37.522059700479204
223,223,国际关系学院,,综合,北京,157.2,224,116.30677,39.992176,116.30068363658654,39.990910927844666
224,224,大连大学,,综合,辽宁,156.9,225,121.823465,39.100645,121.8184334210583,39.099646456998535
225,225,苏州科技大学,,理工,江苏,156.4,226,120.55703,31.265566,120.5527980258426,31.26772320597716
226,226,河北科技大学,,理工,河北,155.9,227,114.534811,38.046379,114.52889202737255,38.04579995041714
227,227,渤海大学,,综合,辽宁,155.8,228,116.31736,39.983707,116.31125325292923,39.98242398752842
228,228,华北理工大学,,综合,河北,155.5,229,118.179192,39.636848,118.17289263203295,39.635525679221075
229,229,甘肃农业大学,,农业,甘肃,155.4,230,103.700945,36.091873,103.69850085937621,36.0921362599986
230,230,北京印刷学院,,理工,北京,154.1,231,116.329503,39.744558,116.323399790278,39.74326725648942
231,231,重庆理工大学,,理工,重庆,153.3,232,106.52942,29.45666,106.5256507296651,29.459489923727375
232,232,西安石油大学,,理工,陕西,153.3,232,108.653779,34.102838,108.64927431563282,34.104467469796255
233,233,海南师范大学,,师范,海南,152.8,234,110.344988,19.998159,110.340597387067,20.00016171966812
234,234,上海应用技术大学,,理工,上海,151.6,235,121.422595,31.166042,121.41795625569375,31.167913529135618
235,235,桂林电子科技大学,,理工,广西,151.2,236,110.337107,25.281329,110.33243078657691,25.284090557248806
236,236,聊城大学,,综合,山东,150.8,237,116.01198,36.430933,116.00623400039055,36.43079348323889
237,237,郑州轻工业大学,,理工,河南,150.8,237,113.65123,34.795126,113.64515405310084,34.79623065640466
238,238,武汉轻工大学,,理工,湖北,150.0,239,114.237573,30.638471,114.23213275050699,30.64090918643259
239,239,安徽建筑大学,,理工,安徽,149.9,240,117.22809,31.74456,117.22261239420178,31.746543909484977
240,240,东北石油大学,,理工,黑龙江,149.9,240,125.149391,46.59074,125.14237697026397,46.58867289799589
241,241,成都信息工程大学,,理工,四川,149.2,242,103.917516,30.683908,103.91543286849841,30.686661418881165
242,242,东莞理工学院,,理工,广东,149.0,243,113.877857,22.9005,113.87293074010873,22.90343999460347
243,243,大连交通大学,,理工,辽宁,148.1,244,121.586442,38.924206,121.58149125767133,38.9234238808624
244,244,山东建筑大学,,理工,山东,147.5,245,117.181744,36.686719,117.17569163524698,36.686354273159665
245,245,西华师范大学,,师范,四川,147.4,246,114.529709,33.768277,114.52421991589694,33.769816660478675
246,246,西安工程大学,,理工,陕西,147.2,247,109.186238,34.36514,109.1811425412385,34.36644898367817
247,247,贵州师范大学,,师范,贵州,146.7,248,106.635649,26.386053,106.63208953669873,26.389662643135864
248,248,成都大学,,综合,四川,146.3,249,104.189026,30.651446,104.1865976792775,30.653963617146623
249,249,西安工业大学,,理工,陕西,145.9,250,108.983039,34.377929,108.97824691330912,34.379375195000684
250,250,浙大宁波理工学院,,理工,浙江,145.1,251,121.569672,29.815443,121.5655523209197,29.818057456575552
251,251,佛山科学技术学院,,理工,广东,144.6,252,113.100107,23.024339,113.09461798447495,23.02687964027252
252,252,山西农业大学,,农业,山西,143.8,253,112.587429,37.424047,112.5812355469099,37.423587193257916
253,253,青岛理工大学,,理工,山东,143.6,254,120.205632,35.973277,120.20054275145645,35.9731604490528
254,254,华北水利水电大学,,理工,河南,143.5,255,113.674683,34.811325,113.66856641447652,34.812370468371626
255,255,厦门理工学院,,理工,福建,143.2,256,118.08573,24.62394,118.08074389194041,24.62660425661685
256,256,北京电子科技学院,,理工,北京,142.9,257,116.279773,39.837164,116.27374456429361,39.835940924732654
257,257,南京工程学院,,理工,江苏,142.7,258,118.881403,31.925978,118.87637973617151,31.928155621819265
258,258,北京联合大学,,综合,北京,142.2,259,116.427048,39.990882,116.42080543179831,39.989482276234
259,259,长春工业大学,,理工,吉林,141.6,260,125.299472,43.827263,125.2930409481215,43.82486848057812
260,260,辽宁工程技术大学,,理工,辽宁,141.3,261,120.780132,40.624062,120.77484127015629,40.62257518447308
261,261,湖州师范学院,,师范,浙江,141.1,262,120.134117,30.874626,120.12930433983446,30.876697657118626
262,262,江汉大学,,综合,湖北,140.5,263,114.159289,30.51214,114.15366412115027,30.51450399880023
263,263,辽宁石油化工大学,,理工,辽宁,140.2,264,123.234668,41.746311,123.22886754401789,41.74404876256821
264,264,青海师范大学,,师范,青海,140.1,265,101.749737,36.745885,101.74777479574938,36.745873961165124
265,265,吉林师范大学,,师范,吉林,139.9,266,125.213919,43.780231,125.20751829068905,43.77781567647577
266,266,北京石油化工学院,,理工,北京,139.7,267,116.325768,39.748175,116.31967224636449,39.74689082824132
267,267,内蒙古师范大学,,师范,内蒙古,139.7,267,111.694234,40.80459,111.68741223866418,40.803240652385796
268,268,中国民航大学,,理工,天津,139.1,269,117.354309,39.102642,117.34783145948519,39.10153378740469
269,269,辽宁工业大学,,理工,辽宁,138.7,270,121.125451,41.145791,121.11979457068936,41.14369570238239
270,270,湖南工业大学,,理工,湖南,138.6,271,113.106165,27.824002,113.10031576939285,27.827118031638967
271,271,延安大学,,综合,陕西,138.5,272,109.463028,36.619962,109.45752600740491,36.6197594015484
272,272,西华大学,,综合,四川,138.2,273,103.95492,30.777764,103.95276557840754,30.78041807544725
273,273,桂林理工大学,,理工,广西,138.0,274,110.299312,25.063343,110.29473100418693,25.066181004811053
274,274,河北工程大学,,理工,河北,137.0,275,114.49876,36.574797,114.4928614183141,36.574616152682395
275,275,沈阳化工大学,,理工,辽宁,137.0,275,123.234668,41.746311,123.22886754401789,41.74404876256821
276,276,绍兴文理学院,,师范,浙江,136.8,277,120.571268,29.98114,120.56717031758248,29.983762524512244
277,277,安徽工程大学,,理工,安徽,136.6,278,118.41375,31.340243,118.40833985287779,31.342079111407493
278,278,浙江科技学院,,理工,浙江,135.9,279,120.024421,30.218984,120.01969136951497,30.22138561716735
279,279,盐城工学院,,理工,江苏,135.0,280,120.176971,33.400136,120.17204973689871,33.401559936869184
280,280,盐城师范学院,,师范,江苏,134.8,281,120.157592,33.383776,120.15261306006033,33.38517345080528
281,281,山西师范大学,,师范,山西,134.5,282,111.504325,36.07878,111.4980411417383,36.07884351869214
282,282,赣南师范大学,,师范,江西,133.9,283,114.886474,25.796003,114.88177419336608,25.799181425051074
283,283,大连海洋大学,,农业,辽宁,133.7,284,121.555454,38.868233,121.55044828582263,38.86744036452242
284,284,内蒙古工业大学,,理工,内蒙古,133.6,285,111.68372,40.849235,111.67691935119021,40.84786966274141
285,285,淮阴师范学院,,师范,江苏,133.3,286,119.005457,33.641576,119.00005173414294,33.64300507333746
286,286,信阳师范学院,,师范,河南,133.1,287,114.124345,32.162588,114.11848721112415,32.16454338179192
287,287,安庆师范大学,,师范,安徽,132.9,288,117.003303,30.608999,116.9980655954587,30.611420803454553
288,288,合肥学院,,理工,安徽,132.8,289,117.255203,31.752979,117.24972798549867,31.75497707739853
289,289,云南农业大学,,农业,云南,132.6,290,102.749651,25.128862,102.74816047882763,25.131800009867323
290,290,辽宁科技大学,,理工,辽宁,132.5,291,123.063495,41.105729,123.05772420779351,41.10364586324056
291,291,南宁师范大学,,师范,广西,132.3,292,108.346669,22.832016,108.34263561322418,22.834734248333138
292,292,沈阳理工大学,,理工,辽宁,132.2,293,123.493776,41.72783,123.48780342759424,41.72553513773288
293,293,内蒙古民族大学,,综合,内蒙古,131.3,294,122.253176,43.628835,122.24762956499109,43.626464675397784
294,294,新疆师范大学,,师范,新疆,131.2,295,87.587026,43.905011,87.58417673778564,43.90385688105388
295,295,湖北师范大学,,师范,湖北,130.8,296,115.063991,30.226583,115.05854780036906,30.228961530193907
296,296,重庆科技学院,,理工,重庆,130.6,297,106.319005,29.587767,106.31514340255426,29.5904019190044
297,297,淮阴工学院,,理工,江苏,130.6,297,119.036003,33.552653,119.03049797669738,33.55402727823232
298,298,吉林建筑大学,,理工,吉林,130.6,297,125.407666,43.79522,125.40102164514197,43.79265465595
299,299,中原工学院,,理工,河南,130.4,300,113.589593,34.746245,113.58354196237377,34.74743861930995
300,300,北华大学,,综合,吉林,130.2,301,126.562866,43.810677,126.55720164158532,43.808422320052756
301,301,嘉兴学院,,综合,浙江,130.2,301,120.720484,30.736445,120.71618626773788,30.738769422328048
302,302,临沂大学,,综合,山东,129.8,303,118.28975,35.119762,118.28411681765213,35.12026230392814
303,303,吉首大学,,综合,湖南,129.7,304,109.72486,28.288438,109.7201457456365,28.291843897246302
304,304,景德镇陶瓷大学,,理工,江西,129.5,305,117.316779,29.328868,117.31142339310236,29.331486226672837
305,305,广东技术师范大学,,师范,广东,129.3,306,113.337005,23.146076,113.33156573547907,23.14864707451196
306,306,淮北师范大学,,师范,安徽,128.7,307,116.811015,33.983799,116.80562676220754,33.985232187339676
307,307,广东海洋大学,,农业,广东,128.6,308,110.300832,21.151215,110.29647408592908,21.153709313736027
308,308,长江师范学院,,师范,重庆,128.4,309,107.390884,29.701571,107.38625787475911,29.704052655868633
309,309,宁波工程学院,,理工,浙江,128.4,309,121.613244,29.909587,121.60914755636736,29.91221491181117
310,310,上海海关学院,,综合,上海,128.0,311,121.578106,31.16865,121.57389065565053,31.17086932781146
311,311,黑龙江八一农垦大学,,农业,黑龙江,127.8,312,125.174437,46.587453,125.16747827790977,46.5854301685638
312,312,江西科技师范大学,,师范,江西,127.0,313,115.835198,28.735875,115.83022550191217,28.739121093313756
313,313,安阳师范学院,,师范,河南,125.9,314,114.366493,36.058769,114.36042912395314,36.05863642877444
314,314,西南林业大学,,林业,云南,125.9,314,103.986214,30.699631,103.98396336062048,30.702243018446218
315,315,新疆农业大学,,农业,新疆,125.5,316,87.56745,43.810825,87.56457772323525,43.80959483590756
316,316,常熟理工学院,,综合,江苏,125.2,317,120.736697,31.608656,120.732310404195,31.610597774730916
317,317,闽南师范大学,,师范,福建,124.9,318,117.645363,24.507475,117.64058671588481,24.510463551800566
318,318,天津城建大学,,理工,天津,124.9,318,117.095443,39.094966,117.08902545401428,39.09381554287738
319,319,福建工程学院,,理工,福建,124.7,320,119.194223,26.038543,119.1893931884704,26.041600941283
320,320,沈阳大学,,综合,辽宁,124.5,321,123.4577,41.820811,123.45160135097507,41.81841711258334
321,321,五邑大学,,综合,广东,124.4,322,113.084587,22.590401,113.07913849700343,22.593092213214938
322,322,内蒙古科技大学,,综合,内蒙古,124.2,323,109.833262,40.623439,109.82753142938581,40.622289647078226
323,323,江苏理工学院,,理工,江苏,123.5,324,119.918224,31.750682,119.9135501475131,31.752820942514063
324,324,上海第二工业大学,,理工,上海,123.4,325,121.652241,31.260196,121.64799240543906,31.262336104432755
325,325,浙大城市学院,,理工,浙江,123.0,326,120.155627,30.328467,120.15091611405798,30.330782173706627
326,326,太原科技大学,,理工,山西,122.7,327,112.492633,37.875528,112.48612165950422,37.874831472133295
327,327,岭南师范学院,,师范,广东,122.6,328,110.349556,21.26952,110.34508795024921,21.271925682365254
328,328,天津农学院,,农业,天津,122.2,329,117.101466,39.091612,117.09504489812903,39.09046236946888
329,329,塔里木大学,,综合,新疆,121.5,330,81.2911,40.54393,81.28829645262044,40.54335754927761
330,330,南京晓庄学院,,师范,江苏,121.3,331,118.75155,32.037281,118.74632684687886,32.03931399479909
331,331,大理大学,,综合,云南,120.9,332,100.156044,25.673575,100.15481310256607,25.676523479305995
332,332,井冈山大学,,综合,江西,120.9,332,115.032043,27.111846,115.02693938216446,27.115097165996044
333,333,湖南理工学院,,理工,湖南,120.8,334,112.952023,27.977413,112.94657413154205,27.980882376802036
334,334,江苏海洋大学,,理工,江苏,120.8,334,119.21956,34.60708,119.21401708520028,34.608097080649706
335,335,台州学院,,综合,浙江,120.6,336,121.388423,28.650662,121.38399301596247,28.653613062701552
336,336,闽江学院,,理工,福建,120.4,337,119.169113,26.064703,119.1642291301684,26.067731816292383
337,337,黄冈师范学院,,师范,湖北,120.0,338,114.92983,30.44666,114.92476703147098,30.449332266631515
338,338,重庆文理学院,,综合,重庆,119.9,339,105.938205,29.350618,105.93470299968946,29.35359884673423
339,339,浙江万里学院,,理工,浙江,119.9,339,121.631006,29.826757,121.6269032943743,29.829375165173957
340,340,齐齐哈尔大学,,综合,黑龙江,119.7,341,123.926859,47.353873,123.92030688051042,47.35183260455978
341,341,四川轻化工大学,,理工,四川,119.7,341,104.765435,29.334845,104.76274172237623,29.33769408034599
342,342,南昌工程学院,,理工,江西,119.6,343,116.024488,28.687315,116.01942299712114,28.690432806857203
343,343,天津职业技术师范大学,,师范,天津,119.4,344,117.299122,39.055274,117.29279659401013,39.05429389571784
344,344,上海电机学院,,理工,上海,119.1,345,121.546167,31.273593,121.54187326427027,31.275708284865175
345,345,湖北科技学院,,综合,湖北,119.0,346,114.404633,30.472013,114.39909585319461,30.47432815896904
346,346,陕西理工大学,,理工,陕西,118.8,347,107.054662,33.070776,107.05004082871197,33.0725926794118
347,347,内江师范学院,,师范,四川,118.5,348,105.050952,29.588901,105.04775958658092,29.59149406270575
348,348,合肥师范学院,,师范,安徽,118.4,349,117.274808,31.853878,117.26930729464762,31.855885802110272
349,349,阜阳师范大学,,师范,安徽,116.6,350,115.7864,32.894118,115.78095608316981,32.896062880548456
350,350,南阳师范学院,,师范,河南,116.4,351,112.536167,32.993422,112.53033010927348,32.99542379252118
351,351,贵州师范学院,,师范,贵州,116.2,352,106.796892,26.642097,106.79307274751092,26.64563388533642
352,352,徐州工程学院,,理工,江苏,115.8,353,117.207931,34.216056,117.20219020046562,34.21732466391606
353,353,洛阳师范学院,,师范,河南,115.4,354,112.47291,34.65657,112.46669259132044,34.65759295404489
354,354,仲恺农业工程学院,,农业,广东,115.4,354,113.280441,23.107883,113.27510289578485,23.110559139648757
355,355,长春师范大学,,师范,吉林,115.2,356,125.392572,43.910114,125.3859156172024,43.90761788430091
356,356,湖北文理学院,,综合,湖北,114.8,357,112.042479,32.000432,112.03646283178635,32.00245766155213
357,357,宝鸡文理学院,,师范,陕西,114.5,358,107.210663,34.346859,107.20595361208069,34.348254751212025
358,358,安徽科技学院,,师范,安徽,114.2,359,117.251656,31.877741,117.24617011979419,31.879760806749506
359,359,长沙学院,,理工,湖南,114.0,360,113.026326,28.245037,113.02060364650256,28.248326979869375
360,360,衡阳师范学院,,师范,湖南,113.8,361,112.680838,26.875759,112.67549241687689,26.87926326902839
361,361,无锡学院,,综合,江苏,113.3,362,120.225758,31.570275,120.22113394418967,31.572205316976913
362,362,滨州学院,,师范,山东,113.1,363,117.98919,37.385168,117.98324793923842,37.384482456131856
363,363,长春大学,,综合,吉林,112.8,364,125.320911,43.834843,125.31442619618542,43.83241684017631
364,364,黑龙江科技大学,,理工,黑龙江,112.6,365,126.656734,45.820833,126.65073280691097,45.81888578338596
365,365,泉州师范学院,,师范,福建,112.6,365,118.670942,24.868273,118.66641406398445,24.871199112573862
366,366,河北科技师范学院,,师范,河北,112.0,367,119.550694,39.909488,119.54481506472837,39.90832088366494
367,367,广西科技大学,,理工,广西,111.8,368,109.44557,24.332836,109.44098561884346,24.335558386912876
368,368,江苏第二师范学院,,师范,江苏,111.5,369,118.754674,32.058518,118.74944874258401,32.06055622120884
369,369,西藏农牧学院,,农业,西藏,111.1,370,94.341601,29.666413,94.34046809496755,29.669133306743255
370,370,贵州理工学院,,理工,贵州,111.0,371,106.65795,26.559262,106.65432933528443,26.56288486774072
371,371,咸阳师范学院,,师范,陕西,111.0,371,108.728199,34.361419,108.72349561211027,34.36282728363884
