univNameCn,univTags,univCategory,province,score,ranking,lng,lat,tlng,tlat
太原师范学院,,师范,山西,90.2,491,112.547,37.8345,112.5406838,37.83395077
宿州学院,,师范,安徽,90.1,493,117.077336,33.633055,117.071567,33.63435054
山东石油化工学院,,理工,山东,89.8,494,118.543821,37.464619,118.5381652,37.46395404
海南热带海洋学院,,综合,海南,89.7,495,110.323306,20.057525,110.3189602,20.05961793
黑河学院,,综合,黑龙江,89.4,496,127.542139,50.226573,127.5348869,50.22495528
吉林农业科技学院,,农业,吉林,89.4,496,126.475571,43.953079,126.4695501,43.95067187
辽东学院,,综合,辽宁,89.4,496,124.427567,40.150883,124.4217364,40.14929047
山西大同大学,,综合,山西,89.4,496,113.34961,40.09294,113.342489,40.09166101
西安航空学院,,理工,陕西,89.4,496,108.89228,34.26295,108.887697,34.26456895
陕西学前师范学院,,师范,陕西,89.3,501,108.952556,34.226754,108.947886,34.22834283
四川民族学院,,师范,四川,89.3,501,102.177748,30.109858,102.1760698,30.11248365
山东农业工程学院,,综合,山东,88.8,503,117.094778,36.69475,117.088652,36.69428576
蚌埠学院,,理工,安徽,88.3,504,117.423095,32.889859,117.4172465,32.89158272
怀化学院,,综合,湖南,87.9,505,110.019881,27.573628,110.0151444,27.57689533
新余学院,,综合,江西,87.8,506,114.995812,27.857762,114.9907776,27.86107327
邵阳学院,,理工,湖南,87.7,507,111.438222,27.195628,111.4325982,27.19881204
楚雄师范学院,,师范,云南,87.4,508,101.550356,25.026218,101.5489414,25.02930933
河南工程学院,,理工,河南,87.4,508,113.696538,34.616148,113.6904048,34.61733941
济宁学院,,师范,山东,87.3,510,116.953453,35.551693,116.9479316,35.55199039
喀什大学,,师范,新疆,87.2,511,76.002517,39.478534,75.99952844,39.47827504
兰州文理学院,,综合,甘肃,86.9,512,103.896886,36.064625,103.8945665,36.06502844
赤峰学院,,综合,内蒙古,86.8,513,118.917203,42.241972,118.9110336,42.2400375
汉江师范学院,,师范,湖北,86.8,513,110.788302,32.616598,110.7829721,32.61877164
伊犁师范大学,,师范,新疆,86.7,515,81.305966,43.938442,81.30298244,43.93724149
贵州工程应用技术学院,,师范,贵州,86.5,516,106.70741,26.598194,106.7036578,26.60173248
邢台学院,,师范,河北,86.4,517,114.508051,37.087588,114.502134,37.0870917
邯郸学院,,师范,河北,86.2,518,114.510107,36.577942,114.5042546,36.57779355
衡水学院,,师范,河北,86.2,518,115.661614,37.742653,115.6557528,37.74203857
晋中学院,,师范,山西,86.1,520,112.715163,37.740271,112.7087158,37.73962406
梧州学院,,综合,广西,86,521,111.317102,23.496771,111.311918,23.49931261
菏泽学院,,综合,山东,85.8,522,115.466462,35.271317,115.4605445,35.27162214
红河学院,,综合,云南,85.8,522,103.424837,23.349713,103.4227823,23.35222402
甘肃民族师范学院,,师范,甘肃,85.7,524,102.894119,34.961458,102.89241,34.96261978
呼伦贝尔学院,,综合,内蒙古,85.6,525,119.782662,49.199725,119.7753441,49.1977917
山东女子学院,,综合,山东,85.4,526,116.824208,36.55615,116.8185775,36.55603086
湖南人文科技学院,,师范,湖南,84.8,527,112.002867,27.711132,111.9973385,27.71443813
广州航海学院,,理工,广东,84.6,528,113.478964,23.101616,113.4735692,23.1042284
新乡学院,,理工,河南,84.6,528,113.942183,35.291233,113.9362706,35.29181652
百色学院,,综合,广西,84.2,530,106.608872,23.890572,106.6054762,23.89347962
沧州师范学院,,师范,河北,83.9,531,116.783943,38.285245,116.7780616,38.28458699
景德镇学院,,综合,江西,83.6,532,117.18267,29.278428,117.1773513,29.28106122
福建技术师范学院,,师范,福建,83.4,533,119.310892,25.70463,119.3061029,25.70747956
赣南科技学院,,理工,江西,83.4,533,114.916869,25.838007,114.9121679,25.84121731
广西民族师范学院,,师范,广西,83.4,533,108.319574,22.842933,108.315592,22.84569813
荆楚理工学院,,理工,湖北,83.4,533,112.197723,31.043692,112.1918792,31.04588885
安阳工学院,,理工,河南,83.2,537,114.351798,36.065146,114.3457552,36.06503651
阿坝师范学院,,师范,四川,82.8,538,103.416773,30.924117,103.414426,30.92638753
信阳农林学院,,农业,河南,82.8,538,114.124905,32.161295,114.1190483,32.16325064
巢湖学院,,师范,安徽,82.6,540,117.92778,31.64862,117.9225501,31.65077483
河北民族师范学院,,师范,河北,82.5,541,114.456217,38.011779,114.4499976,38.01097599
桂林航天工业学院,,理工,广西,82.3,542,110.373477,25.281796,110.3687252,25.28449706
长治学院,,师范,山西,82.2,543,113.136696,36.208809,113.1300437,36.20865247
河池学院,,综合,广西,81,544,108.662594,24.499464,108.6586958,24.50250058
河北环境工程学院,,综合,河北,80.9,545,119.453212,39.868374,119.4469519,39.86694773
张家口学院,,综合,河北,80.7,546,114.869087,40.843079,114.86294,40.84171387
湖南工学院,,理工,湖南,80.6,547,112.99238,28.15773,112.9867889,28.16111927
河南工学院,,理工,河南,80.5,548,113.697165,34.617917,113.6910307,34.61910578
兴义民族师范学院,,师范,贵州,80,549,104.972376,25.161662,104.9697261,25.16466705
绥化学院,,综合,黑龙江,79.8,550,126.977918,46.62403,126.971587,46.62213039
温州理工学院,,师范,浙江,79.2,551,120.706979,27.93056,120.7029187,27.93382669
保山学院,,师范,云南,79,552,99.16148,25.135116,99.16055948,25.13796962
山东青年政治学院,,综合,山东,78.9,553,117.239705,36.672204,117.2337273,36.67192908
长沙师范学院,,师范,湖南,78.8,554,113.082709,28.25522,113.0768405,28.25839457
枣庄学院,,综合,山东,78.1,555,117.537231,34.900274,117.5314874,34.90114419
郑州工程技术学院,,理工,河南,78.1,555,113.649368,34.863612,113.6432876,34.86464719
运城学院,,师范,山西,77.9,557,110.932027,35.12396,110.9265175,35.12478391
文山学院,,师范,云南,76.9,558,104.246888,23.353363,104.2448017,23.35604253
